Date/Time,Electricity:Facility [kWh](Hourly),Gas:Facility [kWh](Hourly),Heating:Electricity [kWh](Hourly),Heating:Gas [kWh](Hourly),HVACFan:Fans:Electricity [kWh](Hourly),Electricity:HVAC [kWh](Hourly),Fans:Electricity [kWh](Hourly),General:InteriorLights:Electricity [kWh](Hourly),General:ExteriorLights:Electricity [kWh](Hourly),Appl:InteriorEquipment:Electricity [kWh](Hourly),Misc:InteriorEquipment:Electricity [kWh](Hourly),Water Heater:WaterSystems:Gas [kWh](Hourly) 
 01/01  01:00:00,0.810167771346376,6.25947950441465,0.000000000000000E+000,5.86789743609547,0.157115726034684,0.157115726034684,0.157115726034684,0.132991937463835,2.755443954505400E-002,9.294299910333617E-002,0.384214656921069,0.365115899817722 
 01/01  02:00:00,0.705694520805351,6.53906280652831,0.000000000000000E+000,6.22764345750011,0.166748095713369,0.166748095713369,0.166748095713369,7.757865884929742E-002,1.607342069256627E-002,7.618584051012475E-002,0.353760492761593,0.287050979311066 
 01/01  03:00:00,0.674740660060007,7.03134534744008,0.000000000000000E+000,6.74172406042974,0.180512846724998,0.180512846724998,0.180512846724998,5.541331988790434E-002,1.148101600202945E-002,6.232654333565033E-002,0.349658921831025,0.265535449116055 
 01/01  04:00:00,0.666331719019813,7.21858774823075,0.000000000000000E+000,6.92334601721022,0.185375860421842,0.185375860421842,0.185375860421842,5.541331988790434E-002,1.148101600202945E-002,5.397647371529803E-002,0.344737036714339,0.271494931313620 
 01/01  05:00:00,0.668923002248638,7.42155223091734,0.000000000000000E+000,7.06404671602088,0.189143188104027,0.189143188104027,0.189143188104027,5.541331988790434E-002,1.148101600202945E-002,6.582291696649339E-002,0.331714549009782,0.334655753726964 
 01/01  06:00:00,0.726738944834296,7.88727093687078,0.000000000000000E+000,7.25483279647120,0.194251575541557,0.194251575541557,0.194251575541557,5.541331988790434E-002,1.148101600202945E-002,8.007824464053613E-002,0.370166776483870,0.606939643391265 
 01/01  07:00:00,0.953015157869358,9.20438691711667,0.000000000000000E+000,8.05719511280152,0.215735205623031,0.215735205623031,0.215735205623031,0.127450643996854,2.640633195888867E-002,0.140383655227083,0.427691308785101,1.11773079849196 
 01/01  08:00:00,1.22322838096935,8.59462238781433,0.000000000000000E+000,7.29979541173624,0.195455470807062,0.195455470807062,0.195455470807062,0.260442581460688,5.396077150394267E-002,0.228567473812190,0.454454059107065,1.26352245011107 
 01/01  09:00:00,1.18206120716099,7.99644076521302,0.000000000000000E+000,6.73548715394491,0.180345850607353,0.180345850607353,0.180345850607353,0.249359925737781,5.166457058390340E-002,0.301128191032485,0.384214656921069,1.23448744276665 
 01/01  10:00:00,1.02908075875889,7.04074279949990,0.000000000000000E+000,5.89394544909995,0.157813173888797,0.157813173888797,0.157813173888797,0.127450643996854,2.640633195888867E-002,0.375064854196324,0.326997742439629,1.12427250082666 
