Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,242127,-,-,-,47.69,-121.1,-8,1308,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.0.6
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Wind Speed,Relative Humidity,Temperature,
2015,1,1,0,0,0,0,0,0.8,70.55,-12,N/A
2015,1,1,0,30,0,0,0,0.8,70.54,-12,N/A
2015,1,1,1,0,0,0,0,0.9,70.06,-12,N/A
2015,1,1,1,30,0,0,0,0.9,70.05,-12,N/A
2015,1,1,2,0,0,0,0,0.9,69.33,-12,N/A
2015,1,1,2,30,0,0,0,0.8,69.32000000000001,-12,N/A
2015,1,1,3,0,0,0,0,0.8,69.85000000000001,-12,N/A
2015,1,1,3,30,0,0,0,0.8,69.83,-12,N/A
2015,1,1,4,0,0,0,0,0.8,70.99,-12,N/A
2015,1,1,4,30,0,0,0,0.7000000000000001,70.98,-12,N/A
2015,1,1,5,0,0,0,0,0.6000000000000001,72.04,-12,N/A
2015,1,1,5,30,0,0,0,0.5,72.03,-12,N/A
2015,1,1,6,0,0,0,0,0.4,78.60000000000001,-12,N/A
2015,1,1,6,30,0,0,0,0.2,78.60000000000001,-12,N/A
2015,1,1,7,0,0,0,0,0.1,79.96000000000001,-12,N/A
2015,1,1,7,30,0,0,0,0.1,73.82000000000001,-12,N/A
2015,1,1,8,0,0,0,0,0.1,78.9,-12,N/A
2015,1,1,8,30,21,450,53,0.1,72.88,-10,N/A
